編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
16,毒品,1080330,新北市中和區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
17,毒品,1080302,新北市蘆洲區,公寓(三至五層建築物),    ,    ,1,安非他命,0
18,毒品,1080317,桃園市龍潭區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
19,毒品,1080522,台中市北屯區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,1.77
20,毒品,1080522,台中市北屯區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,2.41
21,毒品,1080429,新北市汐止區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
21,毒品,1080429,新北市汐止區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
22,毒品,1080507,新竹縣竹北市,普通住宅(一、二層樓),    ,街道馬路,2,安非他命,0
23,毒品,1080424,新竹縣竹北市,大廈(六層以上建築物),    ,門口(出入口),2,海洛因,0
24,毒品,1080203,宜蘭縣頭城鎮,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
25,毒品,1080423,雲林縣虎尾鎮,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
26,毒品,1060917,屏東縣林邊鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
28,毒品,1070224,雲林縣虎尾鎮,市場(含夜市),    ,    ,1,K(愷)他命(含液態),0
29,毒品,1080512,彰化縣鹿港鎮,普通住宅(一、二層樓),    ,    ,2,安非他命,1.04
30,毒品,1080404,桃園市八德區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,甲基安非他命,0
31,毒品,1080512,桃園市八德區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0.56
32,毒品,1080410,新北市淡水區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
33,毒品,1080516,澎湖縣馬公市,公路(省、縣、鄉、鎮道,    ,街道馬路,1,甲基安非他命,101.52
34,毒品,1080101,澎湖縣馬公市,工廠(不含爆竹車輛修配、含工業,    ,    ,1,安非他命,0
35,毒品,1080322,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
36,毒品,1080320,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
37,毒品,1080408,新北市板橋區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
38,毒品,1080314,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,嗎啡,0
38,毒品,1080314,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
39,毒品,1080315,高雄市鼓山區,大廈(六層以上建築物),    ,    ,1,海洛因,0
40,毒品,1080127,高雄市鼓山區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
41,毒品,1080114,高雄市鼓山區,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
42,毒品,1080503,高雄市鼓山區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
43,毒品,1080326,高雄市鼓山區,大廈(六層以上建築物),    ,    ,1,安非他命,0
44,毒品,1080422,新北市樹林區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,0
45,毒品,1080518,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
46,毒品,1080205,桃園市中壢區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
47,毒品,1080414,新北市平溪區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
47,毒品,1080414,新北市平溪區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
48,毒品,1080501,新竹市北區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.6
49,毒品,1080330,基隆市安樂區,汽車旅館,    ,    ,4,安非他命,0
50,毒品,1080505,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,機車上,1,海洛因,1.44
50,毒品,1080505,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,機車上,1,安非他命,2.98
51,毒品,1080309,彰化縣彰化市,普通住宅(一、二層樓),    ,    ,1,海洛因,0
52,毒品,1080507,彰化縣彰化市,商店行號,    ,    ,1,海洛因,1.6
52,毒品,1080507,彰化縣彰化市,商店行號,    ,    ,1,安非他命,0
53,毒品,1080224,屏東縣東港鎮,大廈(六層以上建築物),    ,    ,1,甲基安非他命,0
54,毒品,1080129,高雄市鳳山區,大廈(六層以上建築物),    ,    ,1,海洛因,0
54,毒品,1080129,高雄市鳳山區,大廈(六層以上建築物),    ,    ,1,安非他命,0
55,毒品,1080303,高雄市鳳山區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
56,毒品,1080308,苗栗縣苑裡鎮,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
57,毒品,1080411,新北市中和區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,0
58,毒品,1080518,新北市中和區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,3.82
59,毒品,1080128,台中市神岡區,透天厝,    ,    ,1,安非他命,0
60,毒品,1080511,台中市豐原區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,2.6
61,毒品,1071211,彰化縣和美鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0
61,毒品,1071211,彰化縣和美鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
62,毒品,1080525,台中市西屯區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.97
63,毒品,1080522,台中市西屯區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基卡西酮,24.91
64,毒品,1080519,台南市北區,普通住宅(一、二層樓),    ,    ,1,安非他命,4.37
65,毒品,1080521,台中市西屯區,大廈(六層以上建築物),    ,    ,1,安非他命,6.72
66,毒品,1080226,台南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
67,毒品,1080419,台南市永康區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
68,毒品,1080503,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
69,毒品,1080508,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
70,毒品,1080316,台東縣台東市,商店行號,    ,    ,1,安非他命,0
71,毒品,1080506,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
72,毒品,1080504,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.58
73,毒品,1071013,嘉義縣民雄鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
74,毒品,1080511,新北市淡水區,普通住宅(一、二層樓),    ,    ,1,安非他命,1.07
74,毒品,1080511,新北市淡水區,普通住宅(一、二層樓),    ,    ,1,海洛因,4
75,毒品,1071207,桃園市平鎮區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
76,毒品,1080529,桃園市平鎮區,普通住宅(一、二層樓),    ,    ,1,海洛因,7.76
76,毒品,1080529,桃園市平鎮區,普通住宅(一、二層樓),    ,    ,1,安非他命,14.78
77,毒品,1080309,屏東縣竹田鄉,普通住宅(一、二層樓),    ,房間（起居室）,1,安非他命,0
78,毒品,1080411,屏東縣林邊鄉,汽車旅館,    ,    ,1,安非他命,0
78,毒品,1080411,屏東縣林邊鄉,汽車旅館,    ,    ,1,海洛因,26.41
79,毒品,1080312,屏東縣林邊鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
80,毒品,1080304,高雄市苓雅區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
81,毒品,1080305,台北市中山區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,4.34
81,毒品,1080305,台北市中山區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,1.59
82,毒品,1080201,台東縣池上鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
83,毒品,1080513,彰化縣伸港鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,0
84,毒品,1080417,桃園市龜山區,寺廟、道觀、佛堂、神壇,    ,停車場,1,甲基安非他命,0
85,毒品,1080409,桃園市龜山區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
86,毒品,1080413,高雄市大社區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
87,毒品,1071112,高雄市鳥松區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
88,毒品,1070616,高雄市鳥松區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
89,毒品,1080517,台南市東區,便利商店,    ,    ,1,安非他命,0.86
90,毒品,1080205,苗栗縣苑裡鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0
91,毒品,1080303,苗栗縣通霄鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
92,毒品,1080330,屏東縣潮州鎮,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
93,毒品,1080122,屏東縣潮州鎮,空屋,    ,    ,3,甲基安非他命,6489.63
94,毒品,1080501,苗栗縣通霄鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
95,毒品,1080430,苗栗縣通霄鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0.57
96,毒品,1080223,嘉義市西區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
97,毒品,1080519,屏東縣里港鄉,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
98,毒品,1080331,桃園市龜山區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
99,毒品,1080510,台南市新營區,高速公路,    ,    ,1,安非他命,0.37
100,毒品,1080306,宜蘭縣宜蘭市,透天厝,    ,    ,1,甲基安非他命,0
101,毒品,1080503,台北市北投區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0
102,毒品,1080509,彰化縣員林市,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,1.59
103,毒品,1080427,桃園市桃園區,舞廳,    ,    ,1,K(愷)他命(含液態),1
104,毒品,1080119,彰化縣大村鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,0
105,毒品,1080504,台南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
106,毒品,1080319,台南市永康區,透天厝,    ,    ,1,安非他命,0
107,毒品,1080519,台北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
107,毒品,1080519,台北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
108,毒品,1080519,台北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
109,毒品,1080513,台中市東區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.65
110,毒品,1080430,桃園市桃園區,夜總會,    ,    ,1,安非他命,0
111,毒品,1080313,新北市中和區,公寓(三至五層建築物),    ,    ,1,安非他命,0
112,毒品,1080506,新北市中和區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,9.16
113,毒品,1080505,新北市中和區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.59
114,毒品,1080301,新北市中和區,公寓(三至五層建築物),    ,    ,1,嗎啡,0
114,毒品,1080301,新北市中和區,公寓(三至五層建築物),    ,    ,1,鴉片(阿片),0
115,毒品,1080305,新北市中和區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
116,毒品,1080331,花蓮縣花蓮市,空地(公、私用地),    ,    ,1,安非他命,0
117,毒品,1080215,花蓮縣玉里鎮,透天厝,    ,    ,1,安非他命,0
118,毒品,1080118,台中市梧棲區,貨櫃集散場,空地(公、私用地),    ,5,K(愷)他命(含液態),44185.2
119,毒品,1080305,南投縣南投市,普通住宅(一、二層樓),    ,    ,1,海洛因,0
120,毒品,1080523,新北市鶯歌區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,海洛因,0.3
121,毒品,1080514,彰化縣員林市,寺廟、道觀、佛堂、神壇,    ,    ,2,安非他命,0
122,毒品,1080119,彰化縣大村鄉,透天厝,    ,    ,1,海洛因,0
123,毒品,1080513,彰化縣員林市,空地(公、私用地),    ,    ,1,K(愷)他命(含液態),3.16
124,毒品,1080509,桃園市蘆竹區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
125,毒品,1080506,桃園市蘆竹區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
126,毒品,1080204,嘉義縣中埔鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
127,毒品,1080529,桃園市中壢區,大廈(六層以上建築物),    ,    ,1,安非他命,1.38
128,毒品,1080107,彰化縣員林市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
128,毒品,1080107,彰化縣員林市,普通住宅(一、二層樓),    ,    ,1,海洛因,0
129,毒品,1080523,高雄市小港區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,1.09
130,毒品,1080501,台北市北投區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0.81
131,毒品,1070710,台北市北投區,大廈(六層以上建築物),    ,    ,1,K(愷)他命(含液態),0
132,毒品,1080518,新北市中和區,公寓(三至五層建築物),    ,    ,1,大麻,0.4
133,毒品,1080520,台東縣鹿野鄉,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,1
134,毒品,1080518,高雄市前金區,醫療院所(門診中心),    ,    ,1,安非他命,0
135,毒品,1080508,台北市松山區,大廈(六層以上建築物),LINE,電腦網路,1,安非他命,0
136,毒品,1080509,新北市萬里區,普通住宅(一、二層樓),    ,    ,1,海洛因,0.17
137,毒品,1080116,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
138,毒品,1080203,桃園市觀音區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
139,毒品,1080322,高雄市永安區,公路(省、縣、鄉、鎮道,    ,    ,2,安非他命,0
140,毒品,1070908,嘉義市西區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
141,毒品,1080506,嘉義市西區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.26
142,毒品,1080519,新北市三重區,旅社飯店客棧汽車旅館,    ,    ,2,甲基安非他命,37.51
143,毒品,1080312,新北市三重區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0
144,毒品,1080318,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
145,毒品,1080312,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
146,毒品,1071203,桃園市觀音區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
147,毒品,1071207,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
148,毒品,1080502,嘉義市東區,公園,    ,    ,1,海洛因,0
149,毒品,1080430,嘉義市西區,電子遊藝場(含電動玩具),    ,    ,1,安非他命,0
150,毒品,1080410,高雄市梓官區,透天厝,    ,    ,4,安非他命,0
150,毒品,1080410,高雄市梓官區,透天厝,    ,    ,4,海洛因,0
151,毒品,1070702,台北市松山區,公寓(三至五層建築物),    ,    ,1,海洛因,0.01
152,毒品,1070806,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
153,毒品,1080122,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
154,毒品,1080507,桃園市觀音區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
155,毒品,1080203,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
156,毒品,1080129,桃園市觀音區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
157,毒品,1080514,新北市樹林區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,K(愷)他命(含液態),22.43
158,毒品,1080507,桃園市觀音區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
159,毒品,1080417,台中市沙鹿區,透天厝,    ,    ,1,安非他命,0
160,毒品,1080507,嘉義市西區,普通住宅(一、二層樓),    ,    ,1,卡西酮,0
161,毒品,1080506,嘉義市西區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.2
162,毒品,1070708,嘉義市西區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
163,毒品,1080110,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
164,毒品,1080210,嘉義市西區,公園,    ,    ,1,海洛因,0
164,毒品,1080210,嘉義市西區,公園,    ,    ,1,安非他命,0
165,毒品,1080316,桃園市觀音區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
166,毒品,1080522,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.28
167,毒品,1080522,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.64
168,毒品,1080522,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.34
169,毒品,1080521,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,1
170,毒品,1080521,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
171,毒品,1080521,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.47
172,毒品,1080520,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,6.24
173,毒品,1080520,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.28
174,毒品,1080415,新北市三重區,公園,    ,    ,1,安非他命,0
175,毒品,1080519,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
176,毒品,1080223,新北市蘆洲區,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),0.6
177,毒品,1080327,屏東縣佳冬鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
178,毒品,1080518,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.73
179,毒品,1080519,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,1.11
180,毒品,1080517,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0.35
181,毒品,1080516,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,4.29
181,毒品,1080516,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,1.16
182,毒品,1080517,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
183,毒品,1080314,新北市三重區,大廈(六層以上建築物),    ,房間（起居室）,1,甲基安非他命,0
184,毒品,1080516,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.5
185,毒品,1080516,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,12.69
186,毒品,1080514,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.38
187,毒品,1080125,高雄市大寮區,大廈(六層以上建築物),    ,    ,1,安非他命,0
188,毒品,1080325,新北市五股區,公寓(三至五層建築物),    ,    ,1,安非他命,0
189,毒品,1080224,新北市蘆洲區,大廈(六層以上建築物),LINE,電腦網路,1,安非他命,0
190,毒品,1080421,新北市蘆洲區,公寓(三至五層建築物),    ,    ,2,海洛因,9.28
190,毒品,1080421,新北市蘆洲區,公寓(三至五層建築物),    ,    ,2,安非他命,1.37
191,毒品,1080515,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.22
192,毒品,1080514,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
193,毒品,1080514,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0.15
194,毒品,1080529,台南市東區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.75
195,毒品,1080426,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
196,毒品,1080426,新北市三重區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,0.04
197,毒品,1080512,嘉義縣中埔鄉,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.22
198,毒品,1080512,新北市汐止區,公寓(三至五層建築物),    ,    ,1,K(愷)他命(含液態),0
199,毒品,1080512,新北市汐止區,公寓(三至五層建築物),    ,    ,1,安非他命,0.3
200,毒品,1071224,高雄市楠梓區,便利商店,    ,    ,1,安非他命,0
200,毒品,1071224,高雄市楠梓區,便利商店,    ,    ,1,K(愷)他命(含液態),0
200,毒品,1071224,高雄市楠梓區,便利商店,    ,    ,1,海洛因,0
201,毒品,1080405,台南市白河區,公園,    ,    ,1,安非他命,0
202,毒品,1080410,基隆市暖暖區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
202,毒品,1080410,基隆市暖暖區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
203,毒品,1080410,基隆市暖暖區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
203,毒品,1080410,基隆市暖暖區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
204,毒品,1080526,台北市信義區,公寓(三至五層建築物),    ,    ,1,安非他命,0
205,毒品,1080410,基隆市暖暖區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
205,毒品,1080410,基隆市暖暖區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
206,毒品,1070914,基隆市七堵區,公路(省、縣、鄉、鎮道,    ,    ,2,安非他命,0
207,毒品,1080406,新竹縣芎林鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
208,毒品,1071204,澎湖縣馬公市,公路(省、縣、鄉、鎮道,    ,汽車上,1,安非他命,0
209,毒品,1080403,南投縣草屯鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0
209,毒品,1080403,南投縣草屯鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
210,毒品,1080313,南投縣草屯鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0
211,毒品,1080511,宜蘭縣蘇澳鎮,旅社飯店客棧汽車旅館,    ,    ,1,甲基安非他命,0
212,毒品,1080410,台北市中山區,大廈(六層以上建築物),    ,    ,1,安非他命,0
213,毒品,1080413,台北市中山區,酒吧(廊)、PUB,    ,    ,1,安非他命,0
214,毒品,1071219,台北市中山區,出租公寓（套房）,    ,    ,1,安非他命,0.01
215,毒品,1080407,基隆市七堵區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
216,毒品,1080507,台中市沙鹿區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,1.36
217,毒品,1080509,台中市霧峰區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.92
218,毒品,1080430,新北市鶯歌區,公寓(三至五層建築物),    ,    ,2,安非他命,0
218,毒品,1080430,新北市鶯歌區,公寓(三至五層建築物),    ,    ,2,海洛因,0
219,毒品,1080516,新北市三峽區,商店行號,    ,騎樓(走廊),1,海洛因,7
220,毒品,1080307,彰化縣彰化市,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
220,毒品,1080307,彰化縣彰化市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
221,毒品,1080524,新北市三峽區,大廈(六層以上建築物),    ,騎樓(走廊),2,海洛因,0.2
221,毒品,1080524,新北市三峽區,大廈(六層以上建築物),    ,騎樓(走廊),2,安非他命,0
222,毒品,1080505,新北市三峽區,大廈(六層以上建築物),    ,房間（起居室）,3,海洛因,0
222,毒品,1080505,新北市三峽區,大廈(六層以上建築物),    ,房間（起居室）,3,安非他命,0
223,毒品,1080417,台北市萬華區,大廈(六層以上建築物),    ,    ,1,安非他命,0
224,毒品,1080511,台北市萬華區,公寓(三至五層建築物),    ,    ,1,安非他命,0.65
225,毒品,1080502,基隆市暖暖區,普通住宅(一、二層樓),    ,    ,1,安非他命,5.64
226,毒品,1080403,基隆市暖暖區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
227,毒品,1080402,基隆市暖暖區,公寓(三至五層建築物),    ,    ,1,安非他命,0
228,毒品,1080415,台南市安南區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
229,毒品,1080329,台東縣台東市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
230,毒品,1080404,彰化縣員林市,透天厝,    ,    ,1,海洛因,0
231,毒品,1080405,彰化縣員林市,透天厝,    ,    ,1,海洛因,0
232,毒品,1080119,彰化縣大村鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,0
233,毒品,1080201,桃園市蘆竹區,公寓(三至五層建築物),    ,    ,1,安非他命,0
234,毒品,1080301,桃園市蘆竹區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
235,毒品,1070731,桃園市蘆竹區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
236,毒品,1080325,桃園市蘆竹區,大廈(六層以上建築物),    ,    ,1,安非他命,0
237,毒品,1080330,桃園市蘆竹區,宿舍,    ,    ,1,海洛因,0
238,毒品,1080330,桃園市蘆竹區,宿舍,    ,    ,1,海洛因,0
239,毒品,1080408,桃園市桃園區,公園,    ,    ,1,安非他命,0
240,毒品,1080518,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
241,毒品,1080518,桃園市桃園區,出租公寓（套房）,    ,    ,1,海洛因,3.63
242,毒品,1080519,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
243,毒品,1080515,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
244,毒品,1080518,桃園市桃園區,汽車旅館,    ,    ,2,K(愷)他命(含液態),15.33
245,毒品,1080504,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,1.08
245,毒品,1080504,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,9.38
246,毒品,1080519,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
